"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 12","6","","BLACK COMPASS (8)","Brian Brown","24.40","7.41","","","32.9kg","My Redeemer","Shout Out Loud","$4.20"
"Bendigo (VIC)","Race 12","7","","BULLSEYE BOB (7)","Jordan Formosa","24.65","11.01","","","32.1kg","Feral Franky","Zipping Storm","$21.00"
"Bendigo (VIC)","Race 12","SCR","","DELICIOUS","Stephen Brincat","","","","","","Feral Franky","Mepunga Frankie",""
"Bendigo (VIC)","Race 12","SCR","","GREYSYND LARRY","Michael Chilcott","","","","","","Black Magic Opal","Promote",""
"Bendigo (VIC)","Race 12","SCR","","ASTON RECORD","Cody Hose","","","","","","Aston Rupee","Aston Opal",""
"Capalaba (QLD)","Race 1","1","","RACING QUEEN (7)","Paul Cauchi","20.31","0.00","","","28.6kg","Tommy Shelby","Regal Jade","$6.00"
"Capalaba (QLD)","Race 1","2","","JECKLE (5)","John Adams","20.32","0.03","","","34.3kg","Raw Ability","Elusive Star","$3.00"
"Capalaba (QLD)","Race 1","3","","BENTLEY MOANA (6)","Wayne Foster","20.48","2.53","","","27.2kg","Fernando Bale","Ava's Miss","$2.80"
"Capalaba (QLD)","Race 1","4","","I'M A DANDY (2)","William Page","20.53","3.28","","","29.4kg","Koblenz","Sapphire Queen","$10.00"
"Capalaba (QLD)","Race 1","5","","SO SIMPLE (1)","Michael Vaughan","20.54","3.41","","","25.5kg","Koblenz","Just Simple","$81.00"
"Capalaba (QLD)","Race 1","6","","SHY HI (3)","Brent Kline","21.12","11.66","","","31.3kg","Aston Rupee","Shilo","$10.00"
"Capalaba (QLD)","Race 1","7","","WE DIFFERENT (4)","Brent Kline","21.27","13.66","","","31.2kg","Aston Rupee","Shilo","$11.00"
"Capalaba (QLD)","Race 1","8","","JILLIBY FLETCH (8)","Kevin Kemp","21.74","20.41","","","32.0kg","Cosmic Rumble","Jilliby Emmie","$15.00"
"Capalaba (QLD)","Race 1","SCR","","CRISIS AVERTED","John Jeffrey","","","","","","Aston Rupee","Nurse Meg",""
"Capalaba (QLD)","Race 1","SCR","","SPITFIRE MARCY","George Kadniak","","","","","","Mepunga Blazer","Sheza Keen Size",""
"Capalaba (QLD)","Race 2","1","","BENTLEY HARRIS (4)","Helen Pearce","20.15","0.00","","","27.3kg","Fernando Bale","Ava's Miss","$1.65"
