"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale","R12","4 Computer Model (4)","Place",1.75,1.55,1.5,1.37,1.52,1.4,1.32,1.5,1.4,1.5,1.45,"-","-"
"Sale","R12","5 Snitch Adams (5)","Place",1.85,1.7,1.75,1.55,1.66,1.62,1.45,1.65,1.65,1.65,1.55,"-","-"
"Sale","R12","6 Betsie Bale (6)","Place",3.8,3.4,3.8,3.3,2.75,3.75,3,3.6,3.7,3.6,2.7,"-","-"
"Sale","R12","7 Fabio Giblet (7)","Place",1.75,1.7,1.75,1.55,1.5,1.57,1.45,1.65,1.7,1.65,1.55,"-","-"
"Sale","R12","8 Whatever George (8)","Place",1.4,1.3,1.3,1.25,1.22,1.33,1.12,1.28,1.25,1.28,1.25,"-","-"
"Bendigo","R1","1 Valkyrie (1)","Win",3.5,3.6,3.6,3.5,3.95,3.6,4.1,4.2,3.5,3.5,3.6,3.5,3.6
"Bendigo","R1","2 Something Clever (2)","Win",7,7,6.5,6.5,7.1,6.5,7.8,8,6.5,6.5,6.5,6.5,7
"Bendigo","R1","3 Avianna (3)","Win",4.2,4.4,4,4,3.85,4,4.7,4.9,4.2,4,4,4,4.2
"Bendigo","R1","4 Gremlin (4)","Win",2.9,2.3,2.7,3.1,2.75,2.9,3.6,3.7,2.6,2.9,2.9,2.9,2.6
"Bendigo","R1","5 Blue Cabang (5)","Win",41,51,34,41,29.5,34,48,65,51,41,34,41,34
"Bendigo","R1","6 Zap (6)","Win",26,31,23,26,25,23,30,36,26,23,23,23,26
"Bendigo","R1","7 Scarlett's Gem (7)","Win",81,31,71,67,61,91,250,1000,51,126,101,126,61
"Bendigo","R1","8 Maxed Out (8)","Win",8,8.5,8,8,6.7,7.5,10,10.5,8,7.5,7.5,7.5,8.5
"Bendigo","R1","1 Valkyrie (1)","Place",1.44,1.4,1.3,1.25,1.36,1.33,1.24,1.35,1.25,1.35,1.5,"-","-"
"Bendigo","R1","2 Something Clever (2)","Place",1.9,1.85,1.9,1.6,1.82,1.8,1.65,1.85,1.75,1.85,1.9,"-","-"
"Bendigo","R1","3 Avianna (3)","Place",1.5,1.5,1.36,1.27,1.46,1.33,1.33,1.45,1.3,1.45,1.55,"-","-"
"Bendigo","R1","4 Gremlin (4)","Place",1.33,1.22,1.28,1.2,1.26,1.3,1.12,1.26,1.25,1.26,1.3,"-","-"
